coef,se,p_value,n_treat,n_control,bw_left,bw_right,spec_suffix,bw_method,kernel
0.14824609558208152,0.09541606091562302,0.1202605908084255,201,236,70.79809878416553,63.10997928092679,_geo,certwo,uniform
0.006937325235504513,0.0851840457884459,0.9350926317173676,221,238,71.1366083181035,71.01636839073342,_geo_enslaved,certwo,uniform
0.12443926737737708,0.20594814674701256,0.5456932601028899,113,136,61.101895894387205,56.65219056970942,_geo_noborder,certwo,uniform
-0.05159278952225518,0.1685383624021215,0.7595140665631774,150,132,59.162445159657004,71.72572853005512,_geo_noborder_enslaved,certwo,uniform
0.024570538299366618,0.09249989776427546,0.7905259235425731,274,301,91.65514658181576,91.65514658181576,_no_controls,cersum,uniform
0.08760200696630957,0.10310330112218999,0.3955181556395081,177,194,54.63825596186938,54.63825596186938,_geo,cersum,uniform
0.005849156243089321,0.08227407256997356,0.9433232981408347,231,245,73.83761205098604,73.83761205098604,_geo_enslaved,cersum,uniform
0.12142960610389864,0.2237480762881927,0.5873316804408222,103,121,53.960064873084676,53.960064873084676,_geo_noborder,cersum,uniform
0.09470245293025358,0.18760957775775583,0.6137100312692148,126,138,62.780004802670675,62.780004802670675,_geo_noborder_enslaved,cersum,uniform
0.031341979186745306,0.08638981762836861,0.7167564248009526,327,372,117.37601053732581,117.37601053732581,_no_controls,mserd,epanechnikov
0.13812375523711123,0.07506220454129392,0.06575005177647111,346,391,123.5063571567547,123.5063571567547,_geo,mserd,epanechnikov
0.037926090197922785,0.06522727321071127,0.5609403870218513,388,436,142.28681345172623,142.28681345172623,_geo_enslaved,mserd,epanechnikov
0.20891707441656787,0.13288621434286432,0.1159157461575034,215,252,99.04323147421684,99.04323147421684,_geo_noborder,mserd,epanechnikov
0.08267267451844279,0.1065608392747782,0.43785170342307755,246,292,113.00147175149851,113.00147175149851,_geo_noborder_enslaved,mserd,epanechnikov
0.07037097075461318,0.08483790785792165,0.40683536327466147,384,323,98.95999093888486,141.13533412465264,_no_controls,msetwo,epanechnikov
0.11354255655638879,0.07971538940744058,0.15434539212867518,288,387,120.36809562769926,98.3859156506641,_geo,msetwo,epanechnikov
0.05394868912377332,0.06806852302014031,0.42803164825162837,395,373,117.77956780306026,146.81751391359637,_geo_enslaved,msetwo,epanechnikov
0.23872515708199496,0.13337537110989653,0.07347411148986653,197,287,110.90612186678135,90.91960836502173,_geo_noborder,msetwo,epanechnikov
0.07222004142909327,0.10942309872710634,0.5092491595178409,240,284,108.7394774636086,109.25021565365084,_geo_noborder_enslaved,msetwo,epanechnikov
0.04077027327487137,0.09319674618533626,0.6617744748163636,287,320,97.66386469671957,97.66386469671957,_no_controls,msesum,epanechnikov
0.1265987345848425,0.08301213528067088,0.12724338920000952,288,322,98.61078100143102,98.61078100143102,_geo,msesum,epanechnikov
0.03008923129943708,0.06855594149467158,0.6607336946769415,352,405,127.31217372336336,127.31217372336336,_geo_enslaved,msesum,epanechnikov
0.2155034695901255,0.11871757898303614,0.06948370785112049,247,290,112.65159872756018,112.65159872756018,_geo_noborder,msesum,epanechnikov
0.08579734752222543,0.10581683965780887,0.4174748138852892,247,293,114.18790808373845,114.18790808373845,_geo_noborder_enslaved,msesum,epanechnikov
0.06179553585481301,0.10112829773002828,0.5411593473436942,244,270,80.24728492498375,80.24728492498375,_no_controls,cerrd,epanechnikov
0.1280941674017484,0.08911076365764228,0.1505841152891441,256,280,84.45319974014727,84.45319974014727,_geo,cerrd,epanechnikov
-0.0026472204603350535,0.07718474009880805,0.9726401577144009,285,319,97.30250333204135,97.30250333204135,_geo_enslaved,cerrd,epanechnikov
0.26047697077272736,0.19154522091720014,0.17387045260698034,141,157,67.98047681604933,67.98047681604933,_geo_noborder,cerrd,epanechnikov
0.0844429709253154,0.1505770728723561,0.5749368367730765,167,194,77.5672890664739,77.5672890664739,_geo_noborder_enslaved,cerrd,epanechnikov
0.10538587160644575,0.09946252496209151,0.28934775414892017,281,228,67.65667492610137,96.49098924590027,_no_controls,certwo,epanechnikov
0.11272660291901813,0.09546525112308157,0.23767704626724545,214,274,82.30726787192971,67.27593281305349,_geo,certwo,epanechnikov
0.01219760345597655,0.08024357006248355,0.8791812268615863,291,270,80.54328093089096,100.40081220616037,_geo_enslaved,certwo,epanechnikov
0.25435020976090855,0.19304079192231138,0.18763817149353398,126,183,76.12282973910598,62.40465134855413,_geo_noborder,certwo,epanechnikov
0.08690585653489857,0.15689160210092412,0.5796315889904076,161,176,74.6417400642855,74.99232467358523,_geo_noborder_enslaved,certwo,epanechnikov
0.09160823720709743,0.11087341729184887,0.4086670159491977,213,226,66.77054315711686,66.77054315711686,_no_controls,cersum,epanechnikov
0.13808763080572725,0.0994179309778149,0.16484460359202754,214,226,67.42969492554826,67.42969492554826,_geo,cersum,epanechnikov
