coef,se,p_value,n_treat,n_control,bw_left,bw_right,spec_suffix,bw_method,kernel
0.044740258541376615,0.032311799099202385,0.16616210973929915,147,99,49.81688304144516,71.2797511540839,_geo_noborder_enslaved,certwo,uniform
0.049381459153176044,0.012587532837692742,8.743677186534831e-5,260,288,85.75553184380476,85.75553184380476,_no_controls,cersum,uniform
0.04585490667929285,0.011375995316620929,5.557600403182401e-5,280,312,95.11654638164734,95.11654638164734,_geo,cersum,uniform
0.03289803733201771,0.012970281074214473,0.011199338785467026,216,232,68.5928603842399,68.5928603842399,_geo_enslaved,cersum,uniform
0.04768786013325502,0.02371486176753367,0.044337603637863494,159,177,74.38114963267824,74.38114963267824,_geo_noborder,cersum,uniform
0.02608081226605944,0.03893993277408627,0.5030041996636642,91,97,49.121625705306236,49.121625705306236,_geo_noborder_enslaved,cersum,uniform
0.04704052292948058,0.010564570391533508,8.480989535578947e-6,378,432,137.78388152336066,137.78388152336066,_no_controls,mserd,epanechnikov
0.03706951679816764,0.009986263098141896,2.0558663955474446e-4,380,434,139.22562286876916,139.22562286876916,_geo,mserd,epanechnikov
0.03135508889876499,0.011425942888457228,0.006065830369597522,297,344,102.57273514265208,102.57273514265208,_geo_enslaved,mserd,epanechnikov
0.03965518859369872,0.016337383580304763,0.015213064060955711,268,321,122.36548770808228,122.36548770808228,_geo_noborder,mserd,epanechnikov
0.033651204160025136,0.02134887395227318,0.11496775082793738,196,225,90.45483273205451,90.45483273205451,_geo_noborder_enslaved,mserd,epanechnikov
0.04431883067354159,0.010141719775618244,1.2427373528018144e-5,517,394,122.82732824287143,198.1668149518689,_no_controls,msetwo,epanechnikov
0.03557307714889554,0.009887722570864867,3.2104140858374983e-4,477,387,119.48546452793722,180.8413105255478,_geo,msetwo,epanechnikov
